EURUSD Curncy,eurusd30dma,eurusd50dma,signal
PX_LAST,,,
1.1455,,,
1.1335,,,
1.1399,,,
1.1395,,,
1.1469,,,
1.1454,,,
1.1533,,,
1.1506,,,
1.1469,,,
1.1477,,,
1.139,,,
1.1400000000000001,,,
1.1386,,,
1.1363,,,
1.1368,,,
1.1369,,,
1.1393,,,
1.1299,,,
1.1406,,,
1.1435,,,
1.1428,,,
1.1419,,,
1.145,,,
1.1456,,,
1.1431,,,
1.1409,,,
1.1376,,,
1.1349,,,
1.1323,,,
1.1271,1.14071,,
1.1320000000000001,1.14026,,
1.1276,1.1400633333333334,,
1.1297,1.1397233333333334,,
1.1296,1.1393933333333337,,
1.1311,1.1388666666666671,,
1.1348,1.1385133333333335,,
1.1366,1.137956666666667,,
1.1331,1.1373733333333336,,
1.1335,1.1369266666666669,,
1.1348,1.1364966666666667,,
1.138,1.1364633333333332,,
1.1369,1.1363599999999998,,
1.1381999999999999,1.1363466666666666,,
1.1365,1.136353333333333,,
1.1332,1.1362333333333332,,
1.1297,1.1359933333333332,,
1.1308,1.13571,,
1.1225,1.1354633333333335,,
1.1235,1.1348933333333335,,
1.1242,1.1342500000000002,1.137152,-1.0
1.129,1.13379,1.136822,
1.1303,1.1334033333333333,1.136758,
1.1299,1.1328999999999998,1.136558,
1.1326,1.1324666666666663,1.13642,
1.1328,1.1321233333333331,1.1361379999999999,
1.1354,1.1319399999999997,1.135938,
1.1358,1.1318799999999998,1.1355879999999998,
1.1353,1.1318933333333332,1.135282,
1.1302,1.1318233333333332,1.134948,
1.1317,1.1319766666666666,1.134628,
1.1283,1.1318533333333334,1.134414,
1.1254,1.13178,1.134122,
1.1235,1.1315733333333333,1.13382,
1.1218,1.1313133333333336,1.1335300000000001,
1.1206,1.1309633333333338,1.1332060000000002,
1.1197,1.1304600000000005,1.1328620000000003,
1.1244,1.1300533333333338,1.1325640000000003,
1.1219,1.1296800000000005,1.1324040000000002,
1.1216,1.1292833333333339,1.1320240000000004,
1.1267,1.1290133333333339,1.1316880000000002,
1.127,1.1286466666666675,1.1313720000000003,
1.1276,1.1283366666666674,1.1310860000000003,
1.1258,1.1279233333333343,1.130702,
1.1299,1.1277033333333342,1.1303880000000002,
1.1307,1.1276200000000007,1.1301400000000001,
1.1284,1.1275766666666673,1.12989,
1.1296,1.1275366666666673,1.12973,
1.123,1.1275533333333339,1.129492,
1.1245,1.127586666666667,1.129336,
1.1258,1.1276400000000002,1.1293099999999998,
1.1214,1.127386666666667,1.129098,
1.1159,1.1269066666666672,1.1288639999999999,
1.1137,1.1263666666666672,1.1285439999999998,
1.1151,1.1257833333333338,1.1282539999999996,
1.1181,1.1252933333333337,1.1279939999999997,
1.1217,1.124836666666667,1.1277319999999995,
1.1242,1.1244500000000002,1.1274839999999997,
1.1178,1.123866666666667,1.1271779999999998,
1.1198,1.12352,1.1269039999999997,
1.1203,1.12314,1.1266139999999998,
1.1175,1.12278,1.1262039999999998,
1.1189,1.1225633333333334,1.1258439999999998,
1.1216,1.1225,1.1255119999999998,
1.1233,1.1225500000000002,1.125248,
1.1235,1.1226466666666668,1.125054,
1.121,1.12269,1.12488,
1.1206,1.1225633333333334,1.124676,
1.1177,1.1224233333333336,1.12458,
1.1158,1.1222300000000003,1.124426,
1.1168,1.1219000000000001,1.1242779999999999,
1.116,1.1215333333333333,1.124018,
1.1157,1.1211366666666664,1.123726,
1.1182,1.1208833333333332,1.123492,
1.1203,1.1205633333333334,1.123246,
1.1191,1.1201766666666668,1.122972,
1.1165,1.1197800000000002,1.122594,
1.1134,1.1192400000000002,1.122146,
1.1136,1.1189266666666668,1.121712,
1.1169,1.1186733333333336,1.121446,
1.1216,1.1185333333333338,1.121244,
1.1245,1.118636666666667,1.121168,
1.1235,1.1188900000000004,1.12113,
1.1293,1.1194100000000005,1.121246,
1.1334,1.1200200000000005,1.121478,
1.1316,1.1204700000000005,1.1216979999999999,
1.1329,1.1208433333333339,1.1219619999999997,
1.1297,1.121026666666667,1.1220679999999996,
1.1276,1.1213533333333339,1.1221819999999998,
1.1208,1.1213866666666672,1.1221659999999998,
1.1226,1.121463333333334,1.1220839999999999,
1.1201,1.1215500000000005,1.1219459999999999,
1.1215,1.1216366666666673,1.1218239999999997,
1.1292,1.1218900000000005,1.1218919999999997,
1.1369,1.1223433333333337,1.1220319999999997,1.0
1.1389,1.122856666666667,1.1221959999999997,
1.1363,1.1233666666666668,1.1223539999999996,
1.1383,1.123956666666667,1.1225279999999997,
1.1366,1.1245866666666668,1.1227999999999998,
1.1373,1.1253033333333338,1.123056,
1.1294,1.1257233333333336,1.123128,
1.1307,1.1262133333333335,1.123314,
1.1280999999999999,1.1266266666666669,1.1235579999999998,
1.1280999999999999,1.1269566666666668,1.123846,
1.1225,1.1270300000000002,1.123994,
1.1215,1.1271099999999998,1.124062,
1.1209,1.1272566666666666,1.124046,
1.1259000000000001,1.1276733333333333,1.12408,
1.1254,1.1280666666666666,1.124232,
1.127,1.1284033333333334,1.124376,
1.1259000000000001,1.1285466666666666,1.1244880000000002,
1.1212,1.1284366666666668,1.124562,
1.1225,1.1284033333333336,1.1246340000000001,
1.1224,1.1281733333333335,1.12465,
1.1221,1.127796666666667,1.1246260000000001,
1.1219,1.1274733333333335,1.124594,
1.1151,1.12688,1.124476,
1.1145,1.1263733333333334,1.1243539999999999,
1.1134,1.1259000000000001,1.1242679999999998,
1.1128,1.1256333333333333,1.1242079999999999,
1.114,1.1253466666666665,1.1241519999999998,
1.1152,1.1251833333333332,1.1241359999999998,
1.1128,1.1248933333333333,1.124078,
1.1068,1.1241466666666668,1.12385,
1.1108,1.1232766666666667,1.1236599999999999,-1.0
1.1211,1.1226833333333335,1.1236999999999997,
1.1198,1.1221333333333334,1.1237659999999996,
1.1227,1.1216133333333334,1.1239519999999998,
1.1205,1.1210766666666667,1.1240899999999998,
1.12,1.1204999999999998,1.1241519999999996,
1.1212,1.1202266666666667,1.1241439999999998,
1.1179999999999999,1.1198033333333335,1.1240139999999998,
1.1144,1.1193466666666672,1.123832,
1.11,1.1187433333333336,1.123446,
1.109,1.1182933333333336,1.122958,
1.1094,1.1178900000000003,1.1225139999999998,
1.1099,1.1175233333333339,1.1220539999999999,
1.1103,1.1170033333333338,1.121666,
1.1082,1.1164300000000007,1.121278,
1.1144,1.1160100000000006,1.12115,
1.111,1.1155133333333338,1.120918,
1.1097,1.1151300000000004,1.1207099999999999,
1.1078999999999999,1.1146433333333337,1.120438,
1.1053,1.1140733333333337,1.11996,
1.0982,1.113276666666667,1.119186,
1.0974,1.1124600000000002,1.1183560000000001,
1.097,1.1118566666666672,1.1175700000000002,
1.1026,1.1114600000000006,1.1168560000000003,
1.1041,1.1111500000000007,1.1162060000000003,
1.1029,1.1108200000000006,1.1155180000000002,
1.106,1.1105533333333342,1.1150500000000003,
1.1041,1.1101833333333342,1.1145180000000003,
1.1007,1.1097800000000009,1.1139700000000006,
1.1068,1.1097800000000009,1.1135440000000005,
1.1073,1.1096633333333343,1.1132400000000005,
1.1003,1.108970000000001,1.1128160000000005,
1.107,1.1085433333333343,1.1125380000000005,
1.1063,1.1079966666666676,1.1121460000000005,
1.1046,1.1074666666666675,1.1117300000000006,
1.1017,1.1068566666666677,1.1112240000000004,
1.0987,1.1061066666666677,1.1106800000000003,
1.1014,1.105553333333334,1.1102840000000003,
1.0943,1.1048833333333339,1.1097200000000003,
1.0926,1.1043033333333339,1.1091240000000002,
1.094,1.103803333333334,1.108562,
1.0903,1.103166666666667,1.1079300000000003,
1.0937999999999999,1.1026300000000004,1.1075040000000003,
1.0958,1.1021466666666668,1.1071300000000002,
1.0983,1.1018166666666669,1.1068280000000004,
1.0979,1.1012666666666668,1.1065300000000002,
1.0983,1.1008433333333336,1.1062160000000005,
1.0953,1.1003633333333338,1.1058180000000004,
1.0973,1.1000100000000004,1.1055080000000004,
1.1016,1.099886666666667,1.1054040000000003,
1.1042,1.1000866666666669,1.1052720000000003,
1.103,1.1002733333333337,1.1049100000000005,
1.1023,1.1004500000000002,1.1045600000000004,
1.1081,1.1006333333333336,1.1042680000000005,
1.1126,1.1009166666666668,1.1041100000000004,
1.1167,1.101376666666667,1.1040440000000005,
1.1151,1.1016800000000002,1.1039220000000005,
1.1141,1.1020133333333333,1.1038440000000005,
1.1121,1.1023933333333331,1.1037980000000003,
1.1107,1.1025233333333333,1.1038120000000005,
1.108,1.1025466666666663,1.1037920000000003,
1.1102,1.1028766666666665,1.1038080000000001,
1.1108,1.1030033333333331,1.1038260000000002,
1.1117,1.1031833333333332,1.1038540000000001,
1.1146,1.1035166666666667,1.103982,
1.1166,1.1040133333333333,1.104026,
1.1141,1.1045266666666664,1.104088,1.0
1.1068,1.1047066666666665,1.10403,
1.1066,1.1051166666666667,1.104004,
1.1041,1.1055000000000001,1.1039800000000002,
1.1018,1.10576,1.104052,
1.1039,1.1062133333333335,1.1041820000000002,
1.1011,1.1064566666666669,1.1042640000000001,
1.0999,1.1065933333333335,1.1042100000000001,
1.1018,1.10671,1.104164,
1.1051,1.10695,1.104208,
1.1082,1.1072799999999998,1.104252,
1.1081,1.1077066666666664,1.104332,
1.1067,1.1080199999999998,1.104452,
1.1063,1.1081766666666664,1.104442,
1.1021,1.1081066666666666,1.1043379999999998,
1.1006,1.1080266666666665,1.104344,
1.102,1.1080166666666664,1.104244,
1.1,1.1077466666666664,1.104118,
1.1008,1.107353333333333,1.104042,
1.1018,1.1068566666666662,1.104044,
1.1075,1.106603333333333,1.10422,
1.1088,1.1064266666666664,1.104368,
1.1078000000000001,1.106283333333333,1.104638,
1.1105,1.1062766666666664,1.104996,
1.106,1.10621,1.105236,
1.1057,1.1060599999999998,1.105544,
1.1087,1.1059899999999998,1.105842,
1.1092,1.1059066666666666,1.1061100000000001,-1.0
1.111,1.1057866666666665,1.1063640000000001,
1.1121,1.1056366666666664,1.106648,
1.1143,1.105643333333333,1.106968,
1.1152,1.1059233333333331,1.1073659999999999,
1.1118,1.1060966666666665,1.107656,
1.1125,1.1063766666666663,1.107874,
1.1078999999999999,1.10658,1.1079480000000002,
1.1091,1.106753333333333,1.10807,
1.1088,1.1070099999999996,1.1082,
1.1094,1.1073266666666663,1.1082260000000002,
1.1103,1.10761,1.1081800000000002,
1.1177,1.1080299999999998,1.1082,
1.1211,1.10846,1.10832,1.0
1.1229,1.1089533333333332,1.1084960000000001,
1.1213,1.1094399999999998,1.10868,
1.117,1.1097966666666665,1.108806,
1.1161,1.1102633333333332,1.1089680000000002,
1.1195,1.1108933333333333,1.1091540000000002,
1.1143,1.1113033333333333,1.1092240000000002,
1.1118,1.1116966666666668,1.1092260000000003,
1.1105,1.1120200000000002,1.1091440000000004,
1.1121,1.1123633333333336,1.1090540000000002,
1.114,1.1125800000000001,1.1090520000000001,
1.1131,1.1127233333333335,1.1091780000000002,
1.1158,1.1129900000000001,1.1093620000000002,
1.1135,1.1130900000000001,1.1095500000000003,
1.1092,1.1131966666666668,1.1096980000000003,
1.1084,1.113286666666667,1.1097880000000004,
1.1092,1.1133033333333338,1.1099500000000004,
1.1086,1.1132833333333338,1.1101240000000003,
1.1051,1.1130866666666672,1.1101900000000005,
1.1025,1.1127666666666671,1.1101380000000005,
1.1015,1.1123400000000006,1.1100040000000004,
1.1009,1.111863333333334,1.1098600000000005,
1.1005,1.1114866666666672,1.1097360000000003,
1.1038000000000001,1.1111966666666673,1.1096860000000004,
1.1093,1.1112433333333338,1.1098300000000003,
1.1059,1.111136666666667,1.1099360000000003,
1.1037,1.1109666666666669,1.1099700000000003,
1.1001,1.1106566666666668,1.1099720000000002,
1.0975,1.11023,1.109906,
1.0946,1.10946,1.1097620000000001,-1.0
1.091,1.1084566666666666,1.1094320000000002,
1.0922,1.1074333333333333,1.1091000000000002,
1.0879,1.10632,1.108702,
1.0843,1.10523,1.108178,
1.0831,1.10413,1.10772,
1.0832,1.10292,1.10727,
1.0804,1.1017899999999998,1.106704,
1.0792,1.100703333333333,1.106104,
1.0793,1.099663333333333,1.1054700000000002,
1.0847,1.0987499999999997,1.1049220000000002,
1.0871,1.0978533333333331,1.104378,
1.0883,1.0970266666666662,1.10384,
1.0879,1.0960966666666663,1.103362,
1.098,1.0955799999999993,1.103072,
1.1026,1.0953599999999994,1.102966,
1.1179999999999999,1.0956799999999993,1.1031440000000001,
1.1159,1.0959033333333328,1.103286,
1.1124,1.0960299999999994,1.103346,
1.1214,1.0965733333333327,1.1035679999999999,
1.1284,1.0974366666666662,1.1037819999999998,
1.1463,1.0989299999999995,1.1042859999999999,
1.1316,1.0999533333333327,1.1044599999999998,
1.1285,1.1008866666666663,1.104604,
1.1186,1.1013799999999996,1.104636,
1.1107,1.1014266666666663,1.104528,
1.1159,1.1017599999999999,1.1044559999999999,
1.0988,1.1015966666666666,1.1041459999999998,
1.0848,1.1010866666666668,1.1036059999999999,
1.0684,1.1001166666666669,1.1027639999999996,
1.0688,1.0992566666666668,1.1018979999999998,
1.0751,1.0987266666666669,1.1011199999999999,
1.0757,1.0981766666666668,1.1003719999999997,
1.0861,1.0981166666666669,1.0997779999999997,
1.1024,1.0987200000000004,1.0995559999999998,
1.1141,1.0997533333333336,1.0996539999999997,1.0
1.102,1.1003800000000004,1.0995259999999996,
1.0971,1.100936666666667,1.0992839999999995,
1.0925,1.1013800000000002,1.0989619999999996,
1.0842,1.101543333333334,1.0985439999999995,
1.0801,1.1013900000000008,1.0980959999999995,
1.0802,1.1011600000000006,1.0976699999999995,
1.0896,1.101203333333334,1.0974439999999994,
1.0864,1.1011533333333339,1.0971619999999995,
1.0936,1.1010066666666674,1.0969579999999994,
1.0937000000000001,1.1007100000000005,1.0966459999999996,
1.0917,1.0998333333333339,1.0963619999999996,
1.0965,1.0991866666666672,1.0962179999999995,
1.0917,1.0984966666666671,1.0960499999999995,
1.0834,1.0972300000000004,1.0957679999999996,
1.0875,1.095866666666667,1.0956259999999995,
1.087,1.0938900000000005,1.0955459999999997,-1.0
1.0844,1.0923166666666673,1.0953899999999996,
1.0816,1.090753333333334,1.0952639999999998,
1.0814,1.0895133333333338,1.095206,
1.0823,1.0885666666666673,1.0951899999999997,
1.0821,1.0874400000000004,1.0951679999999997,
1.0832,1.0869200000000003,1.0952239999999998,
1.0848,1.0869200000000003,1.0953359999999999,
1.0937000000000001,1.0877633333333339,1.0956239999999997,
1.0981,1.0887400000000005,1.0958919999999999,
1.09,1.0892366666666673,1.0959499999999998,
1.084,1.089513333333334,1.095864,
1.0807,1.089333333333334,1.09572,
1.0813,1.0886300000000007,1.095386,
1.0839,1.0876233333333338,1.0950119999999999,
1.0808,1.0869166666666674,1.094268,
